HR,Name,DM,glon,glat,vmag,spectype,parallax,Dmag,Sep,,
7395,4    Cyg,BD+36 3557,69.11,9.31,5.15,B9pSi,-0.007,,,,-142.8571429
1744,The Dor,CP-67  401,277.64,-34.26,4.83,K2.5IIIa,-0.006,,,,-166.6666667
2650,43Zet Gem,BD+20 1687,195.75,11.9,3.79,F7-G3Ib,-0.006,0,0.1,,-166.6666667
3225,,CD-39 4084,256.45,-3.24,4.45,K3Ib,-0.006,,,,-166.6666667
5199,,BD+40 2694,82.66,72.77,7.4,M6IIIe,-0.006,,,,-166.6666667
6661,,BD-06 4672,20.6,10.12,6.21,F8Ib-G3Ib,-0.006,,,,-166.6666667
6863,,BD-18 4926,12.79,-2.14,5.75,F8I,-0.006,,,,-166.6666667
7145,36Xi 1Sgr,BD-20 5339,14.99,-10.5,5.08,A0II,-0.006,,,,-166.6666667
7924,50Alp Cyg,BD+44 3541,84.28,2,1.25,A2Ia,-0.006,10,75.4,,-166.6666667
8094,,BD+29 4324,76.11,-11.77,5.59,B9VpSi,-0.006,2.3,3.4,,-166.6666667
8259,,BD+51 3091,94.93,-0.13,6.15,B9IIIe,-0.006,,,,-166.6666667
8416,18    Cep,BD+62 2028,105.26,6.15,5.29,M5IIIab,-0.006,,,,-166.6666667
497,Pi  Scl,CD-32  666,241.27,-77.84,5.25,K0III,-0.005,,,,-200
3540,58Rho2Cnc,BD+28 1666,197.5,38.26,5.22,G8II-III,-0.005,,,,-200
4483,1Ome Vir,BD+08 2532,257.26,64.32,5.36,M4III,-0.005,,,,-200
6682,,CD-4112231,350.18,-8.59,4.88,M0III,-0.005,,,,-200
7986,Bet Ind,CP-58 7788,338.16,-38.85,3.65,K1II,-0.005,8.8,17.3,,-200
8003,,BD+44 3617,85.52,0.31,5.45,K0II,-0.005,,,,-200
8116,,BD+15 4375,65.49,-21.8,6.27,A7Vn,-0.005,0.1,0.2,,-200
8165,,BD+23 4294,73.1,-18.06,5.57,K1III,-0.005,,,,-200
8536,,BD+37 4560,93.74,-15.8,6.22,F5IV:,-0.005,,,,-200
8560,Del2Gru,CD-4414935,353.28,-57.06,4.11,M4.5IIIa,-0.005,4.7,60.6,,-200
846,,BD+52  640,140.73,-5.63,6.36,B8III,-0.004,0.2,1.6,,-250
1228,46Xi  Per,BD+35  775,160.37,-13.11,4.04,O7.5III(n)((f)),-0.004,,,,-250
1712,,BD+34  980,172.08,-2.26,5.96,O9.5V,-0.004,3.3,8.4,,-250
2456,15    Mon,BD+10 1220,202.94,2.2,4.66,O7V((f)),-0.004,3.5,2.9,,-250
3035,,CD-38 3650,253.08,-6.63,5.08,B2.5III,-0.004,5.8,10.9,,-250
3790,,CD-35 5751,263.56,11.45,5.87,K4III,-0.004,8.2,23.6,,-250
6101,,BD+68  868,101.34,38.77,6.41,K0,-0.004,,,,-250
6685,89    Her,BD+26 3120,51.43,23.19,5.46,F2Ib,-0.004,,,,-250
7199,,BD+75  683,107.07,26.1,6.22,A1V,-0.004,0.8,5.6,,-250
9004,19    Psc,BD+02 4709,93.28,-55.6,5.04,C5II,-0.004,,,,-250
154,29Pi  And,BD+32  101,119.47,-29.05,4.36,B5V,-0.003,4.2,35.2,,-333.3333333
248,20    Cet,BD-01  114,123.83,-64.01,4.77,M0III,-0.003,,,,-333.3333333
382,34Phi Cas,BD+57  260,126.71,-4.43,4.98,F0Ia,-0.003,1.9,133.8,,-333.3333333
499,,BD+56  330,130,-4.61,6.21,A3V,-0.003,1.4,1.2,,-333.3333333
1177,42    Per,BD+32  667,160.7,-16.42,5.11,A3V,-0.003,,,,-333.3333333
1679,69Lam Eri,BD-08 1040,209.14,-26.69,4.27,B2IVne,-0.003,,,,-333.3333333
2237,,BD-08 1368,217,-12.07,6.1,B9III,-0.003,0,0.2,,-333.3333333
2450,,BD-14 1525,224.26,-9.04,4.82,K2II,-0.003,,,,-333.3333333
2516,58Psi7Aur,BD+41 1536,174.39,17.57,5.02,K3III,-0.003,5,40.9,,-333.3333333
2594,,CD-50 2458,260.38,-20.24,6.26,K0-1III,-0.003,,,,-333.3333333
2608,,CD-48 2601,258.6,-19.29,4.95,M1III,-0.003,,,,-333.3333333
2639,,BD-05 1926,219.22,-0.28,5.2,M2III,-0.003,,,,-333.3333333
2874,,BD-22 1897,237.67,-2.39,4.85,A5Ib,-0.003,5.9,3,,-333.3333333
2902,,BD-14 1971,230.67,2.52,4.97,M2Iabpe+B2V,-0.003,,,,-333.3333333
3123,12    Pup,BD-22 2104,241.28,3.29,5.11,cK2,-0.003,,,,-333.3333333
3731,1Kap Leo,BD+26 1939,201.76,44.13,4.46,K2III,-0.003,5.1,2.5,,-333.3333333
4267,56    Leo,BD+06 2369,245.05,55.5,5.81,M5.5III,-0.003,,,,-333.3333333
4564,95    Leo,BD+16 2319,251.67,72.7,5.53,A3V,-0.003,,90,,-333.3333333
5667,,CD-41 9682,329.98,13.66,5.16,G5Ia+B,-0.003,,,,-333.3333333
5685,27Bet Lib,BD-08 3935,352.02,39.23,2.61,B8V,-0.003,,,,-333.3333333
7192,15Lam Lyr,BD+31 3424,62.91,12.38,4.93,K2.5IIIBa0.5,-0.003,,,,-333.3333333
7622,11    Sge,BD+16 4081,55.52,-6.4,5.53,B9III,-0.003,,,,-333.3333333
7753,24    Vul,BD+24 4075,64.61,-5.97,5.32,G8III,-0.003,,,,-333.3333333
8598,,BD+69 1263,111.76,10.56,6.34,A0V,-0.003,3,9.7,,-333.3333333
8657,,CD-4714320,346.39,-58.57,5.51,K2III,-0.003,,,,-333.3333333
27,22    And,BD+45   17,115.52,-16.21,5.03,F2II,-0.002,,,,-500
39,88Gam Peg,BD+14   14,109.43,-46.68,2.83,B2IV,-0.002,8.9,163.4,,-500
1209,,BD+30  591,163.08,-17.14,6.1,O9.5ep,-0.002,5.8,22.5,,-500
1542,9Alp Cam,BD+66  358,144.07,14.04,4.29,O9.5Ia,-0.002,,,,-500
1903,46Eps Ori,BD-01  969,205.21,-17.24,1.7,B0Ia,-0.002,8.7,179.9,,-500
1993,133    Tau,BD+13  979,193.17,-7.33,5.29,B2IV-V,-0.002,6.1,24.9,,-500
2011,31Ups Aur,BD+37 1336,173.39,5.28,4.74,M0+III-IIIbFe-0.5,-0.002,,,,-500
2593,18Mu  CMa,BD-13 1741,225.99,-5.34,5,G5III+A2,-0.002,2.5,2.8,,-500
2919,Eps Men,CP-78  265,291.02,-25.01,5.53,K2-3III,-0.002,,,,-500
3577,,BD+18 2093,209.54,36.11,6.38,M4III,-0.002,,,,-500
4392,56    UMa,BD+44 2083,164.73,65.77,4.99,G7.5IIIa:Ba0.3,-0.002,,,,-500
4695,16    Vir,BD+04 2604,284.27,65.05,4.96,K0-IIIbFe-1,-0.002,0,0.6,,-500
6104,4Psi Oph,BD-19 4365,356.17,20.18,4.5,K0II-III,-0.002,,,,-500
6406,64Alp1Her,BD+14 3207,35.53,27.82,3.48,M5Ib-II,-0.002,2.2,4.9,,-500
6407,64Alp2Her,BD+14 3207,35.53,27.82,5.39,G5III+F2V,-0.002,2.2,4.9,,-500
6433,,BD+11 3156,32.38,25.49,5.03,K4II-III,-0.002,,,,-500
6484,75Rho Her,BD+37 2878,61.44,32.71,5.47,A0Vn,-0.002,1,4.2,,-500
6485,75Rho Her,BD+37 2878,61.44,32.71,4.52,B9.5III,-0.002,1,4.2,,-500
6656,30    Dra,BD+50 2468,78.07,30.3,5.02,A2V,-0.002,,0.1,,-500
6714,67    Oph,BD+02 3458,29.73,12.63,3.97,B5Ib,-0.002,4.3,54.5,,-500
6860,105    Her,BD+24 3381,51.92,17.6,5.27,K3III:Ba0.4,-0.002,,,,-500
6865,37    Dra,BD+68  984,98.93,28.4,5.95,gK1,-0.002,,,,-500
7106,10Bet Lyr,BD+33 3223,63.19,14.78,3.45,B8IIpe,-0.002,5.2,45.7,,-500
7181,,BD+26 3418,57.41,9.94,5.27,K2III,-0.002,,,,-500
7187,,BD+65 1309,95.68,23.95,5.63,G8III,-0.002,,,,-500
8779,,BD+66 1575,112.75,6.5,5.24,K3III,-0.002,,,,-500
428,,BD+65  175,126.92,3.53,6.14,A2V s,-0.001,,,,-1000
694,64    And,BD+49  649,137.86,-10.15,5.19,G8III,-0.001,,,,-1000
1247,Del Ret,CP-61  290,274.02,-43.78,4.56,M2IIIab,-0.001,,,,-1000
1897,43The2Ori,BD-05 1319,209.05,-19.37,5.08,O9.5Vp,-0.001,0.1,117,,-1000
2199,70Xi  Ori,BD+14 1187,195.81,-2.06,4.48,B3IV,-0.001,7.9,40,,-1000
2275,,BD-02 1564,211.97,-8.34,4.9,M1III,-0.001,,,,-1000
3153,,CP-60 1018,273.76,-15.61,5.17,M1.5IIa,-0.001,,,,-1000
4327,,CD-41 6343,283.28,16.22,5.15,ApSrCrEu,-0.001,2.5,1.4,,-1000
4337,,CP-58 3189,290.01,1.29,3.91,G40-Ia,-0.001,,,,-1000
5207,,CP-52 6787,312.14,8.97,5.25,B9V,-0.001,2.3,18.1,,-1000
6058,Gam1Nor,CD-4910474,333.04,0.39,4.99,F9Ia,-0.001,,,,-1000
6631,Iot2Sco,CD-4011886,350.89,-6.54,4.81,A2Ib,-0.001,6.1,32.6,,-1000
6951,The CrA,CD-4213378,352.62,-14.8,4.64,G8III,-0.001,,,,-1000
7139,12Del2Lyr,BD+36 3319,66.93,15.32,4.3,M4II,-0.001,7,86.2,,-1000
8335,81Pi 2Cyg,BD+48 3504,94.83,-3.22,4.23,B3III,-0.001,,,,-1000
8685,,CD-3914848,359.57,-62.25,5.42,M0III,-0.001,,,,-1000
8726,,BD+48 3887,104.59,-9,4.95,K5Ib,-0.001,,,,-1000
8875,,BD+47 4114,107.6,-11.74,6.32,K1III,-0.001,3.3,85.8,,-1000
8893,66    Peg,BD+11 4993,91.56,-45.11,5.08,K3III,-0.001,0,0.1,,-1000
429,Gam Phe,CD-43  449,280.52,-72.17,3.41,M0-IIIa,0,,,,#DIV/0!
803,,BD+25  441,152.53,-30.69,6.35,A2Vp:,0,4.1,2.9,,#DIV/0!
1129,,BD+62  604,141.1,6.81,4.8,G0III+A3V,0,1,0.1,,#DIV/0!
1162,26Pi  Eri,BD-12  707,201.55,-46.47,4.42,M2III,0,,,,#DIV/0!
1516,Lam Pic,CD-50 1471,257.58,-40.79,5.31,K0-1III,0,,,,#DIV/0!
1568,7    Cam,BD+53  829,154.47,6.68,4.47,A1V,0,3.4,0.4,,#DIV/0!
1756,6Lam Lep,BD-13 1127,214.83,-26.24,4.29,B0.5IV,0,,,,#DIV/0!
1876,37Phi1Ori,BD+09  877,195.4,-12.29,4.41,B0III,0,,,,#DIV/0!
2398,49    Aur,BD+28 1168,186.04,9.13,5.27,A0Vnn,0,,,,#DIV/0!
3359,,CD-44 4462,262.57,-3.36,4.99,B2IV,0,1.7,4.6,,#DIV/0!
3452,,CD-46 4448,265.87,-3.27,4.77,A5II,0,,,,#DIV/0!
4176,,BD+69  583,138.94,44.44,5.75,gK3,0,,,,#DIV/0!
4875,,BD+38 2373,124.31,79.61,5.89,A3V,0,,,,#DIV/0!
6152,,BD+20 3283,37.79,39.82,5.25,G8IIICN-2CH-1,0,,,,#DIV/0!
6729,95    Her,BD+21 3280,47.5,20.29,5.18,G8III,0,0.1,6.3,,#DIV/0!
6730,95    Her,BD+21 3280,47.5,20.29,4.96,A5IIIn,0,0.1,6.3,,#DIV/0!
6891,,BD+49 2782,77.27,24.87,5.05,M2IIIab,0,,,,#DIV/0!
7157,13    Lyr,BD+43 3117,73.81,17.79,4.04,M5III,0,,,,#DIV/0!
7479,5Alp Sge,BD+17 4042,54.45,-2.14,4.37,G1II,0,6.8,90,,#DIV/0!
7566,19    Cyg,BD+38 3780,73.57,6.2,5.12,M2IIIa,0,6.4,55.5,,#DIV/0!
7836,1    Del,BD+10 4303,54.66,-16.21,6.08,A1eShell,0,1.8,0.9,,#DIV/0!
7934,Sig Pav,CP-69 3138,325.77,-35.7,5.41,K0III,0,,,,#DIV/0!
8128,29    Cap,BD-15 5935,34.86,-38.69,5.28,M3III,0,,,,#DIV/0!
8426,20    Cep,BD+62 2029,105.16,5.81,5.27,K4III,0,,,,#DIV/0!
8939,101    Aqr,BD-21 6437,47.93,-71.13,4.71,A1n,0,2.3,1,,#DIV/0!
114,28    And,BD+28   75,117.42,-32.89,5.23,A7III,0.001,7.1,139.3,,1000
284,,BD+05  131,126.69,-56.33,6.11,M2III,0.001,7.1,31,,1000
776,Mu  Hyi,CP-79   66,297.19,-36.88,5.28,G8III,0.001,,,,1000
779,82Del Cet,BD-00  406,170.76,-52.21,4.07,B2IV,0.001,,,,1000
852,Nu  Hor,CP-63  188,282.75,-49.46,5.26,A2V,0.001,,,,1000
1381,66    Tau,BD+09  570,185.11,-26.88,5.12,A3V,0.001,0.1,0.3,,1000
1527,,BD+63  543,146.25,12.16,5.44,M3IIIab,0.001,4.5,115.4,,1000
1552,3Pi 4Ori,BD+05  745,192.89,-23.52,3.69,B2III+B2IV,0.001,,,,1000
1842,33    Ori,BD+03  948,200.48,-16.17,5.46,B1IV+B1.5V,0.001,1,1.9,,1000
1893,41The1Ori,BD-05 1315,209.01,-19.38,6.73,B0.5V,0.001,0.1,117,,1000
1894,41The1Ori,BD-05 1315,209.01,-19.38,7.96,B0V,0.001,0.1,117,,1000
1895,41The1Ori,BD-05 1315,209.01,-19.38,5.13,O6p,0.001,0.1,117,,1000
1896,41The1Ori,BD-05 1315,209.01,-19.38,6.7,B0.5Vp,0.001,0.1,117,,1000
1956,Alp Col,CD-34 2375,238.81,-28.86,2.64,B7IVe,0.001,9.7,13.5,,1000
1997,,BD+20 1105,187.23,-3.64,6.07,B9Vn,0.001,1.4,0.5,,1000
2618,21Eps CMa,CD-28 3666,239.83,-11.33,1.5,B2II,0.001,6.4,7.5,,1000
2742,,BD+82  201,131.42,28.18,4.96,M4IIIa,0.001,,,,1000
2877,,BD+17 1596,201.8,16.44,5.42,gK2,0.001,,,,1000
3183,,BD-20 2395,239.93,6.36,5.38,A5II,0.001,9.2,13.8,,1000
3521,53    Cnc,BD+28 1659,196.87,37.66,6.23,M3III,0.001,3.5,43.1,,1000
3780,Zet1Ant,CD-31 7355,260.7,14.07,7,A2V,0.001,0.7,8,,1000
3781,Zet1Ant,CD-31 7355,260.7,14.07,6.18,A0V,0.001,0.7,8,,1000
4386,77Sig Leo,BD+06 2437,253.36,59.9,4.05,B9.5V s,0.001,,,,1000
4476,,CD-47 6997,290.29,13.3,5.44,K2III,0.001,,,,1000
4892,,BD+84  289,123.01,33.71,5.85,A0V+A2V,0.001,0.5,21.6,,1000
4893,,BD+84  290,123.01,33.72,5.28,A1IIIShell,0.001,0.5,21.6,,1000
5709,1Omi CrB,BD+30 2647,46.21,57.33,5.51,K0III,0.001,3.9,147.3,,1000
6194,36    Her,BD+04 3234,20.79,30.87,6.93,A3IV,0.001,1.2,69.6,,1000
6195,37    Her,BD+04 3235,20.82,30.87,5.77,A1V,0.001,1.2,69.6,,1000
6488,,BD+38 2928,63.14,32.91,6.49,F8IV,0.001,0.1,0.1,,1000
7066,,BD-05 4760,27.4,-1.72,5.2,K0Ibp,0.001,,,,1000
7332,29Ome2Aql,BD+11 3802,46.42,-0.96,6.02,A2V,0.001,,,,1000
7444,,BD+42 3386,75.38,10.62,5.35,A2V,0.001,,,,1000
7536,7Del Sge,BD+18 4240,55.77,-3.38,3.82,M2II+A0V,0.001,,,,1000
7750,1Kap Cep,BD+77  764,110.38,22.5,4.39,B9III,0.001,3.8,7.3,,1000
7968,Iot Ind,CP-5211782,346.98,-39.34,5.05,K1II-III,0.001,,,,1000
7980,18Ome Cap,CD-2715082,18.46,-37.18,4.11,M0-III-IIIbBa0.2,0.001,,,,1000
8161,,BD+48 3345,91.7,-0.06,5.76,B6V,0.001,,,,1000
8251,,BD-04 5489,50.35,-37.86,5.77,gG9,0.001,,,,1000
8643,,BD+40 4885,98.35,-15.04,5.94,G9III,0.001,,,,1000
8748,,BD+83  640,119.95,22.17,4.71,K4III,0.001,,,,1000
8887,64    Peg,BD+31 4897,101.57,-27.32,5.32,B6III,0.001,3.7,0.4,,1000
9003,20Psi And,BD+45 4321,111.34,-14.97,4.95,G5Ib+A0V,0.001,4,184,,1000
9018,6    Cas,BD+61 2533,115.71,0.22,5.43,A3Ia,0.001,5.1,1.5,,1000
20,,BD+78    1,120.98,17,6.01,A7IV,0.002,0.2,0.6,,500
113,,BD+59   68,120.29,-2.79,5.94,B9IIIn,0.002,2.2,0.5,,500
754,78Nu  Cet,BD+04  418,164.48,-48.67,4.86,G8III,0.002,4.8,8.1,,500
782,33    Ari,BD+26  443,151.02,-29.79,5.3,A3V,0.002,4.2,28.6,,500
1061,4    Tau,BD+10  452,173.32,-35.55,5.14,A0Vn,0.002,,,,500
1105,,BD+62  597,140.84,6.44,5.1,S3.5/2,0.002,,,,500
1239,35Lam Tau,BD+12  539,178.37,-29.38,3.47,B3V+A4IV,0.002,,,,500
1371,,BD+42  946,159.24,-5.01,6.23,A1pSi,0.002,0.5,0.4,,500
1442,,BD+17  750,179.34,-19.76,6.25,B9IVn,0.002,0.1,3.1,,500
1669,,BD+37 1067,168.95,-1.49,6.02,K3:+B2II:,0.002,0.1,1.5,,500
1691,,BD+00  975,200,-21.51,5.89,G5III,0.002,1.4,1.6,,500
1762,,BD-21 1135,223.35,-29.07,4.71,A0V,0.002,3.8,4.2,,500
1800,,BD-00  945,203.26,-19.28,6.57,B9pHgSi,0.002,0.6,0.2,,500
1845,119    Tau,BD+18  875,187.18,-8.07,4.38,M2Iab-Ib,0.002,,,,500
1863,,BD-01  939,205.31,-18.17,6.46,B4Vn,0.002,1.8,1.5,,500
2438,54    Aur,BD+28 1196,186.24,10.1,6.03,B7III,0.002,1.6,0.8,,500
2508,,BD-08 1558,220.53,-4.93,5.07,M1+Ib-IIa,0.002,,,,500
2511,43    Cam,BD+69  394,146.42,25.38,5.12,B7III,0.002,,,,500
2528,,CD-23 4438,234.45,-11.07,6.33,A1,0.002,1.3,1.6,,500
2580,16Omi1CMa,CD-24 4567,234.98,-10.21,3.87,K2+Iab,0.002,,,,500
2795,56    Gem,BD+20 1775,197.63,15.66,5.1,M0IIIab,0.002,7.4,16.5,,500
4118,Del Ant,CD-29 8383,270.06,23.06,5.56,B9.5V,0.002,3.9,10.9,,500
4475,,CP-60 3182,294.12,0.31,5.15,K0III,0.002,,,,500
4791,24    Com,BD+19 2584,278.83,80.48,6.56,A9Vm,0.002,1.5,20.2,,500
4792,24    Com,BD+19 2584,278.86,80.48,5.02,K2III,0.002,1.5,20.2,,500
4846,,BD+46 1817,126.45,71.65,4.99,C7I,0.002,,,,500
5041,,CP-63 2732,306.42,-1.88,4.53,G6II,0.002,,,,500
5396,Tau2Lup,CD-44 9323,319.87,14.35,4.35,F4IV+A7:,0.002,0.1,0.1,,500
5475,29Pi 1Boo,BD+17 2768,15.64,62.54,4.94,B9pMnHgSi,0.002,0.9,5.7,,500
5476,29Pi 2Boo,BD+17 2768,15.64,62.54,5.88,A6V,0.002,0.9,5.7,,500
5490,34    Boo,BD+27 2413,38,65.06,4.81,M3-III,0.002,,,,500
5594,,BD+00 3297,357.28,48.48,5.71,M0.5IIb,0.002,1.1,0.5,,500
5785,,BD+64 1074,99.67,45.05,5.79,K0III-IV,0.002,,,,500
5850,,BD+14 2922,23.15,47.81,6.48,G5III,0.002,1,0.6,,500
6008,7Kap Her,BD+17 2964,31.02,43.64,5,G8III,0.002,1.2,28.1,,500
6009,7Kap Her,BD+17 2965,31.03,43.64,6.25,K1III,0.002,1.2,28.1,,500
6414,,BD+01 3408,22.73,21.57,5.88,B5Vnn+B5V,0.002,7.3,20.7,,500
6592,,BD+24 3225,48.64,25.71,6.36,K1III+F4V,0.002,3,16.3,,500
6695,91The Her,BD+37 2982,63.26,26.42,3.86,K1IIaCN+2,0.002,,,,500
7225,15    Aql,BD-04 4684,30.88,-4.84,5.42,K1III,0.002,1.6,38.5,,500
7275,,BD+52 2350,82.98,18.73,5.81,K1IV,0.002,,,,500
7298,20Eta Lyr,BD+38 3490,70.62,12.75,4.39,B2.5IV,0.002,4,28.3,,500
7305,,BD+27 3313,60.14,7.23,6.54,B8V,0.002,0.4,0.9,,500
7424,Iot Tel,CD-4813161,350.25,-26.89,4.9,K0III,0.002,,,,500
7440,52    Sgr,CD-2514184,14.68,-20.51,4.6,B9,0.002,4.5,2.7,,500
7711,18    Vul,BD+26 3815,65.71,-3.57,5.52,A3III,0.002,,,,500
7794,,BD+04 4434,48.75,-17.63,5.31,G8III-IV,0.002,,,,500
7866,47    Cyg,BD+34 4079,75.43,-2.93,4.61,K2Ib+B3V,0.002,5.6,117.6,,500
7891,29    Vul,BD+20 4658,64.59,-12.05,4.82,A0V,0.002,,,,500
7953,13    Del,BD+05 4613,52.78,-22.5,5.58,A0V,0.002,3.6,1.4,,500
7967,,BD+69 1127,104.41,16.37,6.41,G8III,0.002,,,,500
8049,,BD+58 2201,97.06,8.79,5.51,gK4,0.002,,,,500
8113,,BD+67 1291,104.81,13.84,7.33,M7IIIe,0.002,,,,500
8119,,BD+59 2334,98.52,7.99,5.64,B0II,0.002,1,1,,500
8252,73Rho Cyg,BD+44 3865,90.74,-4.58,4.02,G8IIIFe-0.5,0.002,,,,500
8258,,BD+23 4346,75.94,-20.05,6.11,A4V,0.002,0.3,0.3,,500
8311,46    Cap,BD-09 5829,46.17,-42.51,5.09,G8II-III,0.002,,,,500
8595,,BD+69 1262,111.5,10.17,6.6,A9III,0.002,0.3,0.5,,500
8652,,BD+46 3803,101.4,-10.27,6.39,A1V+G:,0.002,1.6,0.5,,500
8752,,BD+56 2923,108.16,-2.7,5,G40,0.002,,,,500
